[ORM]2018/10/18 14:55:27  -[Queries/default] - [  OK /     db.Exec /    19.2ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 14:55:27`, `100`
[ORM]2018/10/18 14:56:27  -[Queries/default] - [  OK /     db.Exec /     3.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 14:56:27`, `100`
[ORM]2018/10/18 14:57:27  -[Queries/default] - [  OK /     db.Exec /     2.0ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 14:57:27`, `100`
[ORM]2018/10/18 14:58:27  -[Queries/default] - [  OK /     db.Exec /     2.3ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 14:58:27`, `100`
[ORM]2018/10/18 14:59:27  -[Queries/default] - [  OK /     db.Exec /     1.2ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 14:59:27`, `100`
[ORM]2018/10/18 15:00:27  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 15:00:27`, `100`
[ORM]2018/10/18 15:01:27  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 15:01:27`, `100`
[ORM]2018/10/18 15:02:27  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 15:02:27`, `100`
[ORM]2018/10/18 15:03:27  -[Queries/default] - [  OK /     db.Exec /     0.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 15:03:27`, `100`
[ORM]2018/10/18 15:04:27  -[Queries/default] - [  OK /     db.Exec /     0.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-11 15:04:27`, `100`

[ORM]2018/10/19 01:38:45  -[Queries/default] - [  OK /     db.Exec /     8.2ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 01:38:45`, `100`
[ORM]2018/10/19 01:39:45  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 01:39:45`, `100`
[ORM]2018/10/19 01:40:45  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 01:40:45`, `100`
[ORM]2018/10/19 01:41:45  -[Queries/default] - [  OK /     db.Exec /     2.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 01:41:45`, `100`
[ORM]2018/10/19 01:42:45  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 01:42:45`, `100`
[ORM]2018/10/19 01:43:45  -[Queries/default] - [  OK /     db.Exec /     2.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 01:43:45`, `100`
[ORM]2018/10/19 01:44:45  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 01:44:45`, `100`
[ORM]2018/10/19 02:15:31  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:15:31`, `100`
[ORM]2018/10/19 02:16:31  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:16:31`, `100`
[ORM]2018/10/19 02:17:31  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:17:31`, `100`
[ORM]2018/10/19 02:18:31  -[Queries/default] - [  OK /     db.Exec /     3.0ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:18:31`, `100`
[ORM]2018/10/19 02:19:31  -[Queries/default] - [  OK /     db.Exec /     3.3ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:19:31`, `100`
[ORM]2018/10/19 02:20:31  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:20:31`, `100`
[ORM]2018/10/19 02:21:31  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:21:31`, `100`
[ORM]2018/10/19 02:22:31  -[Queries/default] - [  OK /     db.Exec /     2.0ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:22:31`, `100`
[ORM]2018/10/19 02:23:31  -[Queries/default] - [  OK /     db.Exec /     2.2ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:23:31`, `100`
[ORM]2018/10/19 02:24:31  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:24:31`, `100`
[ORM]2018/10/19 02:25:31  -[Queries/default] - [  OK /     db.Exec /     1.0ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:25:31`, `100`
[ORM]2018/10/19 02:26:31  -[Queries/default] - [  OK /     db.Exec /     2.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:26:31`, `100`
[ORM]2018/10/19 02:27:31  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:27:31`, `100`
[ORM]2018/10/19 02:28:31  -[Queries/default] - [  OK /     db.Exec /     2.2ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:28:31`, `100`
[ORM]2018/10/19 02:29:31  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:29:31`, `100`
[ORM]2018/10/19 02:30:31  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:30:31`, `100`
[ORM]2018/10/19 02:31:30  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:31:30`, `100`
[ORM]2018/10/19 02:32:30  -[Queries/default] - [  OK /     db.Exec /     1.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:32:30`, `100`
[ORM]2018/10/19 02:33:30  -[Queries/default] - [  OK /     db.Exec /     2.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:33:30`, `100`
[ORM]2018/10/19 02:34:30  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:34:30`, `100`
[ORM]2018/10/19 02:35:30  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:35:30`, `100`
[ORM]2018/10/19 02:36:30  -[Queries/default] - [  OK /     db.Exec /     3.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:36:30`, `100`
[ORM]2018/10/19 02:37:30  -[Queries/default] - [  OK /     db.Exec /     2.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:37:30`, `100`
[ORM]2018/10/19 02:38:30  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:38:30`, `100`
[ORM]2018/10/19 02:39:30  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:39:30`, `100`
[ORM]2018/10/19 02:40:30  -[Queries/default] - [  OK /     db.Exec /     2.4ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:40:30`, `100`
[ORM]2018/10/19 02:41:30  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:41:30`, `100`
[ORM]2018/10/19 02:42:30  -[Queries/default] - [  OK /     db.Exec /     2.1ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:42:30`, `100`
[ORM]2018/10/19 02:43:30  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:43:30`, `100`
[ORM]2018/10/19 02:44:30  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:44:30`, `100`
[ORM]2018/10/19 02:45:30  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:45:30`, `100`
[ORM]2018/10/19 02:46:29  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:46:29`, `100`
[ORM]2018/10/19 02:47:29  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:47:29`, `100`
[ORM]2018/10/19 02:48:29  -[Queries/default] - [  OK /     db.Exec /     1.8ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:48:29`, `100`
[ORM]2018/10/19 02:49:29  -[Queries/default] - [  OK /     db.Exec /     1.7ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:49:29`, `100`
[ORM]2018/10/19 02:50:29  -[Queries/default] - [  OK /     db.Exec /     1.9ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:50:29`, `100`
[ORM]2018/10/19 02:51:29  -[Queries/default] - [  OK /     db.Exec /     1.6ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:51:29`, `100`
[ORM]2018/10/19 02:52:29  -[Queries/default] - [  OK /     db.Exec /     1.5ms] - [delete from events where timestamp<? limit ?] - `2018-10-12 02:52:29`, `100`
